deployed	category	orig_mod	orig_dir	orig_file	base_volume
zs\foliage\all\bigsnap11_7c3137b626	foliage	Amplified	ambient/soundscape/foliage	bigsnap11	1.965
zs\foliage\all\bigsnap12_626dc24cb3	foliage	Amplified	ambient/soundscape/foliage	bigsnap12	2.178
zs\foliage\all\bigsnap13_aeca288921	foliage	Amplified	ambient/soundscape/foliage	bigsnap13	1.885
zs\foliage\all\bigsnap14_52a9942731	foliage	Amplified	ambient/soundscape/foliage	bigsnap14	2.672
zs\foliage\all\bigsnap15_650cf001ab	foliage	Amplified	ambient/soundscape/foliage	bigsnap15	2.099
zs\foliage\all\bigsnap2_0c2c8a33f4	foliage	Amplified	ambient/soundscape/foliage	bigsnap2	2.329
zs\foliage\all\bigsnap3_2b3ede5a68	foliage	Amplified	ambient/soundscape/foliage	bigsnap3	2.182
zs\foliage\all\bigsnap4_a23157f1e9	foliage	Amplified	ambient/soundscape/foliage	bigsnap4	2.345
zs\foliage\all\bigsnap5_4a00cb3d83	foliage	Amplified	ambient/soundscape/foliage	bigsnap5	1.912
zs\foliage\all\bigsnap6_39330036f3	foliage	Amplified	ambient/soundscape/foliage	bigsnap6	2.078
zs\foliage\all\bigsnap7_e935ff8fbb	foliage	Amplified	ambient/soundscape/foliage	bigsnap7	3.549
zs\foliage\all\bigsnap8_94fd002e54	foliage	Amplified	ambient/soundscape/foliage	bigsnap8	2.022
zs\foliage\all\bigsnap9_e9c09a0760	foliage	Amplified	ambient/soundscape/foliage	bigsnap9	2.002
zs\foliage\all\chime1_b804042ad9	foliage	Amplified	ambient/soundscape/foliage	chime1	3.387
zs\foliage\all\chime2_bb4887b79d	foliage	Amplified	ambient/soundscape/foliage	chime2	3.463
zs\foliage\all\chime3_7d3167a0af	foliage	Amplified	ambient/soundscape/foliage	chime3	3.44
zs\foliage\all\chime4_715ad7b168	foliage	Amplified	ambient/soundscape/foliage	chime4	3.526
zs\foliage\all\chime5_53056fa0bf	foliage	Amplified	ambient/soundscape/foliage	chime5	3.976
zs\foliage\all\chime6_f0a51c1c2c	foliage	Amplified	ambient/soundscape/foliage	chime6	3.666
zs\foliage\all\chime7_2053d3a1b5	foliage	Amplified	ambient/soundscape/foliage	chime7	3.526
zs\foliage\all\chime8_ad1112d087	foliage	Amplified	ambient/soundscape/foliage	chime8	3.591
zs\foliage\all\chime9_05cc9daad4	foliage	Amplified	ambient/soundscape/foliage	chime9	3.666
zs\foliage\all\foliage1_3810c5e101	foliage	Amplified	ambient/soundscape/foliage	Foliage1	5.78
